"endpoint","trial","sequence","first_terminal","first_delta_ms","last_terminal","last_delta_ms"
"content_pdf","content_pdf_ok_t1","TAB_SHOWN -> NAVIGATION_STARTED -> NAVIGATION_ABORTED","NAVIGATION_ABORTED","114","NAVIGATION_ABORTED","114"
"content_pdf","content_pdf_ok_t2","TAB_SHOWN -> NAVIGATION_STARTED -> NAVIGATION_ABORTED","NAVIGATION_ABORTED","97","NAVIGATION_ABORTED","97"
"content_pdf","content_pdf_ok_t3","TAB_SHOWN -> NAVIGATION_STARTED -> NAVIGATION_ABORTED","NAVIGATION_ABORTED","82","NAVIGATION_ABORTED","82"
"delay_1000","delay_1000_ok_t1","TAB_SHOWN -> NAVIGATION_STARTED -> NAVIGATION_FINISHED -> TAB_HIDDEN","NAVIGATION_FINISHED","1050","NAVIGATION_FINISHED","1050"
"delay_1000","delay_1000_ok_t2","TAB_SHOWN -> NAVIGATION_STARTED -> NAVIGATION_FINISHED -> TAB_HIDDEN","NAVIGATION_FINISHED","1012","NAVIGATION_FINISHED","1012"
"delay_1000","delay_1000_ok_t3","TAB_SHOWN -> NAVIGATION_STARTED -> NAVIGATION_FINISHED -> TAB_HIDDEN","NAVIGATION_FINISHED","1019","NAVIGATION_FINISHED","1019"
"delay_3000","delay_3000_ok_t1","TAB_SHOWN -> NAVIGATION_STARTED -> NAVIGATION_FINISHED -> TAB_HIDDEN","NAVIGATION_FINISHED","3020","NAVIGATION_FINISHED","3020"
"delay_3000","delay_3000_ok_t2","TAB_SHOWN -> NAVIGATION_STARTED -> NAVIGATION_FINISHED -> TAB_HIDDEN","NAVIGATION_FINISHED","3020","NAVIGATION_FINISHED","3020"
"delay_3000","delay_3000_ok_t3","TAB_SHOWN -> NAVIGATION_STARTED -> NAVIGATION_FINISHED -> TAB_HIDDEN","NAVIGATION_FINISHED","3020","NAVIGATION_FINISHED","3020"
"download","download_ok_t1","TAB_SHOWN -> NAVIGATION_STARTED -> NAVIGATION_ABORTED","NAVIGATION_ABORTED","102","NAVIGATION_ABORTED","102"
"download","download_ok_t2","TAB_SHOWN -> NAVIGATION_STARTED -> NAVIGATION_ABORTED","NAVIGATION_ABORTED","70","NAVIGATION_ABORTED","70"
"download","download_ok_t3","TAB_SHOWN -> NAVIGATION_STARTED -> NAVIGATION_ABORTED","NAVIGATION_ABORTED","103","NAVIGATION_ABORTED","103"
"redirect_html","redirect_html_ok_t1","TAB_SHOWN -> NAVIGATION_STARTED -> NAVIGATION_FINISHED -> NAVIGATION_STARTED -> NAVIGATION_ABORTED -> NAVIGATION_STARTED -> NAVIGATION_FINISHED -> TAB_HIDDEN","NAVIGATION_FINISHED","58","NAVIGATION_FINISHED","219"
"redirect_html","redirect_html_ok_t2","TAB_SHOWN -> NAVIGATION_STARTED -> NAVIGATION_FINISHED -> NAVIGATION_STARTED -> NAVIGATION_ABORTED -> NAVIGATION_STARTED -> NAVIGATION_FINISHED -> TAB_HIDDEN","NAVIGATION_FINISHED","48","NAVIGATION_FINISHED","320"
"redirect_html","redirect_html_ok_t3","TAB_SHOWN -> NAVIGATION_STARTED -> NAVIGATION_FINISHED -> NAVIGATION_STARTED -> NAVIGATION_ABORTED -> NAVIGATION_STARTED -> NAVIGATION_FINISHED -> TAB_HIDDEN","NAVIGATION_FINISHED","60","NAVIGATION_FINISHED","235"
"redirect_http","redirect_http_ok_t1","TAB_SHOWN -> NAVIGATION_STARTED -> NAVIGATION_FINISHED -> TAB_HIDDEN","NAVIGATION_FINISHED","458","NAVIGATION_FINISHED","458"
"redirect_http","redirect_http_ok_t2","TAB_SHOWN -> NAVIGATION_STARTED -> NAVIGATION_FINISHED -> TAB_HIDDEN","NAVIGATION_FINISHED","123","NAVIGATION_FINISHED","123"
"redirect_http","redirect_http_ok_t3","TAB_SHOWN -> NAVIGATION_STARTED -> NAVIGATION_FINISHED -> TAB_HIDDEN","NAVIGATION_FINISHED","154","NAVIGATION_FINISHED","154"
